ID,GeneticID,Method,Stimulus,Accuracy
GAD_NEG1,GAD_NEG,rcorr,STIM1,0.282885526
GAD_NEG1,GAD_NEG,rcorr,STIM2,0.22134809
GAD_NEG1,GAD_NEG,rcorr,STIM3,0.297419828
GAD_NEG1,GAD_NEG,rcorr,WN,0.164010934
GAD_NEG10,GAD_NEG,rcorr,STIM4,0.469431295
GAD_NEG10,GAD_NEG,rcorr,STIM6,0.286552437
GAD_NEG10,GAD_NEG,rcorr,STIM11,0.341689446
GAD_NEG10,GAD_NEG,rcorr,WN,0.155543703
GAD_NEG11,GAD_NEG,rcorr,STIM4,0.277818521
GAD_NEG11,GAD_NEG,rcorr,STIM6,0.317621175
GAD_NEG11,GAD_NEG,rcorr,STIM11,0.338822588
GAD_NEG11,GAD_NEG,rcorr,WN,0.250616708
GAD_NEG12,GAD_NEG,rcorr,STIM4,0.559837322
GAD_NEG12,GAD_NEG,rcorr,STIM6,0.221414761
GAD_NEG12,GAD_NEG,rcorr,STIM11,0.646509767
GAD_NEG12,GAD_NEG,rcorr,WN,0.176478432
GAD_NEG13,GAD_NEG,rcorr,STIM4,0.333288886
GAD_NEG13,GAD_NEG,rcorr,STIM6,0.426695113
GAD_NEG13,GAD_NEG,rcorr,STIM11,0.557170478
GAD_NEG13,GAD_NEG,rcorr,WN,0.316421095
GAD_NEG14,GAD_NEG,rcorr,STIM4,0.510434029
GAD_NEG14,GAD_NEG,rcorr,STIM6,0.367424495
GAD_NEG14,GAD_NEG,rcorr,STIM11,0.498833256
GAD_NEG14,GAD_NEG,rcorr,WN,0.295286352
GAD_NEG15,GAD_NEG,rcorr,STIM4,0.549969998
GAD_NEG15,GAD_NEG,rcorr,STIM6,0.450163344
GAD_NEG15,GAD_NEG,rcorr,STIM11,0.435562371
GAD_NEG15,GAD_NEG,rcorr,WN,0.565571038
GAD_NEG16,GAD_NEG,rcorr,STIM4,0.195613041
GAD_NEG16,GAD_NEG,rcorr,STIM6,0.467964531
GAD_NEG16,GAD_NEG,rcorr,STIM11,0.38869258
GAD_NEG16,GAD_NEG,rcorr,WN,0.200146676
GAD_NEG17,GAD_NEG,rcorr,STIM4,0.784484606
GAD_NEG17,GAD_NEG,rcorr,STIM10,0.653546682
GAD_NEG17,GAD_NEG,rcorr,STIM6,0.559897136
GAD_NEG17,GAD_NEG,rcorr,STIM11,0.249160654
GAD_NEG17,GAD_NEG,rcorr,WN,0.704050289
GAD_NEG2,GAD_NEG,rcorr,STIM7,0.311287419
GAD_NEG2,GAD_NEG,rcorr,STIM8,0.316687779
GAD_NEG2,GAD_NEG,rcorr,STIM9,0.387425828
GAD_NEG2,GAD_NEG,rcorr,WN,0.197679845
GAD_NEG3,GAD_NEG,rcorr,STIM7,0.313287553
GAD_NEG3,GAD_NEG,rcorr,STIM8,0.261217414
GAD_NEG3,GAD_NEG,rcorr,STIM9,0.273151543
GAD_NEG3,GAD_NEG,rcorr,WN,0.183612241
GAD_NEG4,GAD_NEG,rcorr,STIM7,0.729181945
GAD_NEG4,GAD_NEG,rcorr,STIM8,0.76605107
GAD_NEG4,GAD_NEG,rcorr,STIM9,0.906260417
GAD_NEG4,GAD_NEG,rcorr,WN,0.259683979
GAD_NEG5,GAD_NEG,rcorr,STIM7,0.340622708
GAD_NEG5,GAD_NEG,rcorr,STIM8,0.234082272
GAD_NEG5,GAD_NEG,rcorr,STIM9,0.250616708
GAD_NEG5,GAD_NEG,rcorr,WN,0.22194813
GAD_NEG6,GAD_NEG,rcorr,STIM4,0.270818055
GAD_NEG6,GAD_NEG,rcorr,STIM5,0.442362824
GAD_NEG6,GAD_NEG,rcorr,STIM6,0.423628242
GAD_NEG6,GAD_NEG,rcorr,WN,0.31015401
GAD_NEG7,GAD_NEG,rcorr,STIM4,0.232548837
GAD_NEG7,GAD_NEG,rcorr,STIM5,0.232615508
GAD_NEG7,GAD_NEG,rcorr,STIM6,0.258750583
GAD_NEG7,GAD_NEG,rcorr,WN,0.244282952
GAD_NEG8,GAD_NEG,rcorr,STIM4,0.911927462
GAD_NEG8,GAD_NEG,rcorr,STIM5,0.917527835
GAD_NEG8,GAD_NEG,rcorr,STIM6,0.735582372
GAD_NEG8,GAD_NEG,rcorr,WN,0.468764584
GAD_NEG9,GAD_NEG,rcorr,STIM4,0.546569771
GAD_NEG9,GAD_NEG,rcorr,STIM5,0.438429229
GAD_NEG9,GAD_NEG,rcorr,STIM6,0.286219081
GAD_NEG9,GAD_NEG,rcorr,WN,0.362224148
GAD_POS1,GAD_POS,rcorr,STIM1,0.880792053
GAD_POS1,GAD_POS,rcorr,STIM2,0.840989399
GAD_POS1,GAD_POS,rcorr,STIM3,0.784985666
GAD_POS1,GAD_POS,rcorr,WN,0.312487499
GAD_POS10,GAD_POS,rcorr,STIM4,0.47329822
GAD_POS10,GAD_POS,rcorr,STIM6,0.439362624
GAD_POS10,GAD_POS,rcorr,STIM11,0.422161477
GAD_POS10,GAD_POS,rcorr,WN,0.233082205
GAD_POS11,GAD_POS,rcorr,STIM4,0.659710647
GAD_POS11,GAD_POS,rcorr,STIM6,0.650510034
GAD_POS11,GAD_POS,rcorr,STIM11,0.772251483
GAD_POS11,GAD_POS,rcorr,WN,0.487499167
GAD_POS12,GAD_POS,rcorr,STIM4,0.831322088
GAD_POS12,GAD_POS,rcorr,STIM6,0.880658711
GAD_POS12,GAD_POS,rcorr,STIM11,0.874791653
GAD_POS12,GAD_POS,rcorr,WN,0.822921528
GAD_POS13,GAD_POS,rcorr,STIM4,0.629830702
GAD_POS13,GAD_POS,rcorr,STIM10,0.390599329
GAD_POS13,GAD_POS,rcorr,STIM6,0.42231588
GAD_POS13,GAD_POS,rcorr,STIM11,0.222515894
GAD_POS13,GAD_POS,rcorr,WN,0.218658476
GAD_POS14,GAD_POS,rcorr,STIM4,0.524180299
GAD_POS14,GAD_POS,rcorr,STIM10,0.304521752
GAD_POS14,GAD_POS,rcorr,STIM6,0.462675905
GAD_POS14,GAD_POS,rcorr,STIM11,0.273090935
GAD_POS14,GAD_POS,rcorr,WN,0.439174227
GAD_POS15,GAD_POS,rcorr,STIM4,0.885192346
GAD_POS15,GAD_POS,rcorr,STIM6,0.902126808
GAD_POS15,GAD_POS,rcorr,STIM11,0.878725248
GAD_POS15,GAD_POS,rcorr,WN,0.507633842
GAD_POS16,GAD_POS,rcorr,STIM4,0.663644243
GAD_POS16,GAD_POS,rcorr,STIM6,0.634775652
GAD_POS16,GAD_POS,rcorr,STIM11,0.638442563
GAD_POS16,GAD_POS,rcorr,WN,0.426161744
GAD_POS2,GAD_POS,rcorr,STIM1,0.335822388
GAD_POS2,GAD_POS,rcorr,STIM2,0.234015601
GAD_POS2,GAD_POS,rcorr,STIM3,0.516901127
GAD_POS2,GAD_POS,rcorr,WN,0.368291219
GAD_POS3,GAD_POS,rcorr,STIM1,0.259017268
GAD_POS3,GAD_POS,rcorr,STIM2,0.19074605
GAD_POS3,GAD_POS,rcorr,STIM3,0.229015268
GAD_POS3,GAD_POS,rcorr,WN,0.291219415
GAD_POS4,GAD_POS,rcorr,STIM7,0.48889926
GAD_POS4,GAD_POS,rcorr,STIM8,0.384358957
GAD_POS4,GAD_POS,rcorr,STIM9,0.416227749
GAD_POS4,GAD_POS,rcorr,WN,0.281685446
GAD_POS5,GAD_POS,rcorr,STIM4,0.93279552
GAD_POS5,GAD_POS,rcorr,STIM5,0.932995533
GAD_POS5,GAD_POS,rcorr,STIM6,0.919527969
GAD_POS5,GAD_POS,rcorr,WN,0.575438363
GAD_POS6,GAD_POS,rcorr,STIM4,0.390559371
GAD_POS6,GAD_POS,rcorr,STIM5,0.180945396
GAD_POS6,GAD_POS,rcorr,STIM6,0.382425495
GAD_POS6,GAD_POS,rcorr,WN,0.210480699
GAD_POS7,GAD_POS,rcorr,STIM4,0.856390426
GAD_POS7,GAD_POS,rcorr,STIM5,0.922528169
GAD_POS7,GAD_POS,rcorr,STIM6,0.860190679
GAD_POS7,GAD_POS,rcorr,WN,0.877925195
GAD_POS8,GAD_POS,rcorr,STIM4,0.875525035
GAD_POS8,GAD_POS,rcorr,STIM5,0.84705647
GAD_POS8,GAD_POS,rcorr,STIM6,0.900660044
GAD_POS8,GAD_POS,rcorr,WN,0.436229082
GAD_POS9,GAD_POS,rcorr,STIM4,0.377958531
GAD_POS9,GAD_POS,rcorr,STIM6,0.358290553
GAD_POS9,GAD_POS,rcorr,STIM11,0.350690046
GAD_POS9,GAD_POS,rcorr,WN,0.178278552
CAMKII_NEG1,CAMKII_NEG,rcorr,STIM1,0.366157744
CAMKII_NEG1,CAMKII_NEG,rcorr,STIM2,0.185879059
CAMKII_NEG1,CAMKII_NEG,rcorr,STIM3,0.207747183
CAMKII_NEG1,CAMKII_NEG,rcorr,WN,0.17454497
CAMKII_NEG10,CAMKII_NEG,rcorr,STIM4,0.321021401
CAMKII_NEG10,CAMKII_NEG,rcorr,STIM5,0.334288953
CAMKII_NEG10,CAMKII_NEG,rcorr,STIM6,0.275018335
CAMKII_NEG10,CAMKII_NEG,rcorr,WN,0.497966531
CAMKII_NEG11,CAMKII_NEG,rcorr,STIM4,0.473431562
CAMKII_NEG11,CAMKII_NEG,rcorr,STIM5,0.296219748
CAMKII_NEG11,CAMKII_NEG,rcorr,STIM6,0.268684579
CAMKII_NEG11,CAMKII_NEG,rcorr,WN,0.54590306
CAMKII_NEG12,CAMKII_NEG,rcorr,STIM1,0.931928795
CAMKII_NEG12,CAMKII_NEG,rcorr,STIM2,0.932395493
CAMKII_NEG12,CAMKII_NEG,rcorr,STIM3,0.928261884
CAMKII_NEG12,CAMKII_NEG,rcorr,WN,0.577638509
CAMKII_NEG13,CAMKII_NEG,rcorr,STIM1,0.375708412
CAMKII_NEG13,CAMKII_NEG,rcorr,STIM2,0.231803534
CAMKII_NEG13,CAMKII_NEG,rcorr,STIM3,0.384376042
CAMKII_NEG13,CAMKII_NEG,rcorr,WN,0.274586065
CAMKII_NEG14,CAMKII_NEG,rcorr,STIM1,0.437962531
CAMKII_NEG14,CAMKII_NEG,rcorr,STIM2,0.432228815
CAMKII_NEG14,CAMKII_NEG,rcorr,STIM3,0.29695313
CAMKII_NEG14,CAMKII_NEG,rcorr,WN,0.238482566
CAMKII_NEG15,CAMKII_NEG,rcorr,STIM1,0.280618708
CAMKII_NEG15,CAMKII_NEG,rcorr,STIM2,0.376225082
CAMKII_NEG15,CAMKII_NEG,rcorr,STIM3,0.320554704
CAMKII_NEG15,CAMKII_NEG,rcorr,WN,0.229681979
CAMKII_NEG16,CAMKII_NEG,rcorr,STIM1,0.353623575
CAMKII_NEG16,CAMKII_NEG,rcorr,STIM2,0.25495033
CAMKII_NEG16,CAMKII_NEG,rcorr,STIM3,0.490766051
CAMKII_NEG16,CAMKII_NEG,rcorr,WN,0.197546503
CAMKII_NEG2,CAMKII_NEG,rcorr,STIM1,0.271218081
CAMKII_NEG2,CAMKII_NEG,rcorr,STIM2,0.218681245
CAMKII_NEG2,CAMKII_NEG,rcorr,STIM3,0.294819655
CAMKII_NEG2,CAMKII_NEG,rcorr,WN,0.333488899
CAMKII_NEG3,CAMKII_NEG,rcorr,STIM4,0.588239216
CAMKII_NEG3,CAMKII_NEG,rcorr,STIM5,0.360957397
CAMKII_NEG3,CAMKII_NEG,rcorr,STIM6,0.419027935
CAMKII_NEG3,CAMKII_NEG,rcorr,WN,0.292086139
CAMKII_NEG4,CAMKII_NEG,rcorr,STIM4,0.275885059
CAMKII_NEG4,CAMKII_NEG,rcorr,STIM5,0.448496566
CAMKII_NEG4,CAMKII_NEG,rcorr,STIM6,0.517034469
CAMKII_NEG4,CAMKII_NEG,rcorr,WN,0.287085806
CAMKII_NEG5,CAMKII_NEG,rcorr,STIM4,0.491166078
CAMKII_NEG5,CAMKII_NEG,rcorr,STIM5,0.192479499
CAMKII_NEG5,CAMKII_NEG,rcorr,STIM6,0.19194613
CAMKII_NEG5,CAMKII_NEG,rcorr,WN,0.221548103
CAMKII_NEG6,CAMKII_NEG,rcorr,STIM4,0.33955597
CAMKII_NEG6,CAMKII_NEG,rcorr,STIM5,0.389359291
CAMKII_NEG6,CAMKII_NEG,rcorr,STIM6,0.228148543
CAMKII_NEG6,CAMKII_NEG,rcorr,WN,0.474698313
CAMKII_NEG7,CAMKII_NEG,rcorr,STIM4,0.383758917
CAMKII_NEG7,CAMKII_NEG,rcorr,STIM5,0.19914661
CAMKII_NEG7,CAMKII_NEG,rcorr,STIM6,0.304820321
CAMKII_NEG7,CAMKII_NEG,rcorr,WN,0.300020001
CAMKII_NEG8,CAMKII_NEG,rcorr,STIM1,0.399293286
CAMKII_NEG8,CAMKII_NEG,rcorr,STIM2,0.307553837
CAMKII_NEG8,CAMKII_NEG,rcorr,STIM3,0.297886526
CAMKII_NEG8,CAMKII_NEG,rcorr,WN,0.404426962
CAMKII_NEG9,CAMKII_NEG,rcorr,STIM4,0.315687713
CAMKII_NEG9,CAMKII_NEG,rcorr,STIM5,0.458563904
CAMKII_NEG9,CAMKII_NEG,rcorr,STIM6,0.568504567
CAMKII_NEG9,CAMKII_NEG,rcorr,WN,0.415361024
CAMKII_POS1,CAMKII_POS,rcorr,STIM1,0.270951397
CAMKII_POS1,CAMKII_POS,rcorr,STIM2,0.350890059
CAMKII_POS1,CAMKII_POS,rcorr,STIM3,0.393826255
CAMKII_POS1,CAMKII_POS,rcorr,WN,0.218014534
CAMKII_POS10,CAMKII_POS,rcorr,STIM4,0.342089473
CAMKII_POS10,CAMKII_POS,rcorr,STIM5,0.405027002
CAMKII_POS10,CAMKII_POS,rcorr,STIM6,0.402293486
CAMKII_POS10,CAMKII_POS,rcorr,WN,0.226815121
CAMKII_POS11,CAMKII_POS,rcorr,STIM1,0.454496966
CAMKII_POS11,CAMKII_POS,rcorr,STIM2,0.513967598
CAMKII_POS11,CAMKII_POS,rcorr,STIM3,0.248216548
CAMKII_POS11,CAMKII_POS,rcorr,WN,0.32095473
CAMKII_POS12,CAMKII_POS,rcorr,STIM1,0.576905127
CAMKII_POS12,CAMKII_POS,rcorr,STIM2,0.610907394
CAMKII_POS12,CAMKII_POS,rcorr,STIM3,0.46309754
CAMKII_POS12,CAMKII_POS,rcorr,WN,0.502166811
CAMKII_POS13,CAMKII_POS,rcorr,STIM4,0.5735049
CAMKII_POS13,CAMKII_POS,rcorr,STIM5,0.65684379
CAMKII_POS13,CAMKII_POS,rcorr,STIM6,0.361557437
CAMKII_POS13,CAMKII_POS,rcorr,WN,0.553303554
CAMKII_POS14,CAMKII_POS,rcorr,STIM4,0.506767118
CAMKII_POS14,CAMKII_POS,rcorr,STIM5,0.609440629
CAMKII_POS14,CAMKII_POS,rcorr,STIM6,0.50030002
CAMKII_POS14,CAMKII_POS,rcorr,WN,0.203280219
CAMKII_POS15,CAMKII_POS,rcorr,STIM4,0.285885726
CAMKII_POS15,CAMKII_POS,rcorr,STIM5,0.222214814
CAMKII_POS15,CAMKII_POS,rcorr,STIM6,0.270284686
CAMKII_POS15,CAMKII_POS,rcorr,WN,0.240482699
CAMKII_POS16,CAMKII_POS,rcorr,STIM4,0.301620108
CAMKII_POS16,CAMKII_POS,rcorr,STIM5,0.366824455
CAMKII_POS16,CAMKII_POS,rcorr,STIM6,0.338022535
CAMKII_POS16,CAMKII_POS,rcorr,WN,0.247216481
CAMKII_POS17,CAMKII_POS,rcorr,STIM1,0.721181412
CAMKII_POS17,CAMKII_POS,rcorr,STIM2,0.548236549
CAMKII_POS17,CAMKII_POS,rcorr,STIM3,0.452696846
CAMKII_POS17,CAMKII_POS,rcorr,WN,0.205280352
CAMKII_POS18,CAMKII_POS,rcorr,STIM1,0.25547283
CAMKII_POS18,CAMKII_POS,rcorr,STIM2,0.513612624
CAMKII_POS18,CAMKII_POS,rcorr,STIM3,0.29658851
CAMKII_POS18,CAMKII_POS,rcorr,WN,0.161462385
CAMKII_POS19,CAMKII_POS,rcorr,STIM1,0.532168811
CAMKII_POS19,CAMKII_POS,rcorr,STIM2,0.404626975
CAMKII_POS19,CAMKII_POS,rcorr,STIM3,0.355623708
CAMKII_POS19,CAMKII_POS,rcorr,WN,0.478898593
CAMKII_POS2,CAMKII_POS,rcorr,STIM1,0.336022401
CAMKII_POS2,CAMKII_POS,rcorr,STIM2,0.200813388
CAMKII_POS2,CAMKII_POS,rcorr,STIM3,0.207480499
CAMKII_POS2,CAMKII_POS,rcorr,WN,0.229015268
CAMKII_POS20,CAMKII_POS,rcorr,STIM1,0.885992399
CAMKII_POS20,CAMKII_POS,rcorr,STIM2,0.902993533
CAMKII_POS20,CAMKII_POS,rcorr,STIM3,0.901726782
CAMKII_POS20,CAMKII_POS,rcorr,WN,0.81945463
CAMKII_POS21,CAMKII_POS,rcorr,STIM1,0.429828655
CAMKII_POS21,CAMKII_POS,rcorr,STIM2,0.59930662
CAMKII_POS21,CAMKII_POS,rcorr,STIM3,0.277218481
CAMKII_POS21,CAMKII_POS,rcorr,WN,0.549036602
CAMKII_POS22,CAMKII_POS,rcorr,STIM1,0.298886592
CAMKII_POS22,CAMKII_POS,rcorr,STIM2,0.224214948
CAMKII_POS22,CAMKII_POS,rcorr,STIM3,0.223814921
CAMKII_POS22,CAMKII_POS,rcorr,WN,0.212480832
CAMKII_POS3,CAMKII_POS,rcorr,STIM4,0.30535369
CAMKII_POS3,CAMKII_POS,rcorr,STIM5,0.233482232
CAMKII_POS3,CAMKII_POS,rcorr,STIM6,0.223814921
CAMKII_POS3,CAMKII_POS,rcorr,WN,0.192079472
CAMKII_POS4,CAMKII_POS,rcorr,STIM4,0.27415161
CAMKII_POS4,CAMKII_POS,rcorr,STIM5,0.164544303
CAMKII_POS4,CAMKII_POS,rcorr,STIM6,0.238882592
CAMKII_POS4,CAMKII_POS,rcorr,WN,0.193079539
CAMKII_POS5,CAMKII_POS,rcorr,STIM4,0.31315421
CAMKII_POS5,CAMKII_POS,rcorr,STIM5,0.240149343
CAMKII_POS5,CAMKII_POS,rcorr,STIM6,0.191879459
CAMKII_POS5,CAMKII_POS,rcorr,WN,0.194412961
CAMKII_POS6,CAMKII_POS,rcorr,STIM4,0.249749983
CAMKII_POS6,CAMKII_POS,rcorr,STIM5,0.126275085
CAMKII_POS6,CAMKII_POS,rcorr,STIM6,0.241482766
CAMKII_POS6,CAMKII_POS,rcorr,WN,0.204413628
CAMKII_POS7,CAMKII_POS,rcorr,STIM4,0.331688779
CAMKII_POS7,CAMKII_POS,rcorr,STIM5,0.146476432
CAMKII_POS7,CAMKII_POS,rcorr,STIM6,0.25675045
CAMKII_POS7,CAMKII_POS,rcorr,WN,0.196213081
CAMKII_POS8,CAMKII_POS,rcorr,STIM4,0.359157277
CAMKII_POS8,CAMKII_POS,rcorr,STIM5,0.358623908
CAMKII_POS8,CAMKII_POS,rcorr,STIM6,0.230082005
CAMKII_POS8,CAMKII_POS,rcorr,WN,0.234215614
CAMKII_POS9,CAMKII_POS,rcorr,STIM4,0.367624508
CAMKII_POS9,CAMKII_POS,rcorr,STIM5,0.281685446
CAMKII_POS9,CAMKII_POS,rcorr,STIM6,0.294952997
CAMKII_POS9,CAMKII_POS,rcorr,WN,0.194079605
